,videoId,channelTitle,publishedAt,channelId,title,description,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
0,ASusE5qjoAg,東海オンエア,2019-05-31T11:58:15Z,UCutJqz56653xV2wwSvut_hQ,【目指せ商品化】文理対抗！ガチンコボードゲーム作り対決！,東海オンエアってもう｢チャンネル登録してください｣とか｢高評価よろしくお願いします｣とか言わなくなっちゃったけど、やっぱり言ったほうがいいってばよ？ チャンネル登録 ...,4610102,125948,1814,0,4492
1,GzPq9KfVIj8,東海オンエア,2019-06-01T10:40:40Z,UCutJqz56653xV2wwSvut_hQ,【理系編】文理対抗！ガチンコボードゲーム作り対決！,前編(文系編) https://www.youtube.com/watch?v=ASusE5qjoAg 語尾が戻ってきました。うれしいです。 ｢だってばよ｣時代は、概要欄も一言くらいにとどめていたのですが、 ...,4438484,179969,1507,0,5037
2,SgZzIrugEnU,すごろくやボードゲームのお店と会社,2019-10-03T15:59:53Z,UC-eApqGqN0N_S2s2ARJgt-A,すごろくやCM「ボードゲーム、おうちでやろう。」編,東京の高円寺駅と神保町店駅のすぐそばにある、国内最大級のボードゲームのお店と会社「すごろくや https://sugorokuya.jp/ 」のテレビCMです。 Credits: Director : 清水 ...,2459019,89,12,0,2
3,BNv7zbORfVM,ジャニーズJr.チャンネル,2019-08-07T12:45:00Z,UC1cHlPIE-kqiPvpyYz2O8rQ,Snow Man 【ボードゲーム】ベストアクトで演技力対決してみた！,どうもSnow Manです！ 今回はボードゲームをやりまぁす。挑戦したゲームは、演技力が試される「ベストアクト」！ 与えられたお題に対して、声と表情だけで演じきってもらい ...,2192089,,,0,3525
4,1y4_v6PnsOE,Snow Man,2020-05-13T10:30:00Z,UCuFPaemAaMR8R5cHzjy23dQ,Snow Man「リモートでボードゲームに挑戦」みんな顔が黒くなった！,２年ぶりにあのゲームをやってみました。 しかもリモートスタイルで！ するとみんな...とんでもない顔になっちゃいました！ Snow Man オフィシャルサイト ...,1889033,,,0,8831
5,E_A4gxbFYQQ,Fischer's-フィッシャーズ-,2020-07-18T12:13:15Z,UCibEhpu5HP45-w7Bq1ZIulw,【天才】いきなりボードゲームを作ってもらったら神作品が生まれた！？,二代目のチャンネルもよろしく！ ☆Fischer's-セカンダリ- □https://goo.gl/QgBhjD ☆チャンネル登録よろしくね！ □https://goo.gl/lSy9St ☆専用の絵文字や色々！,1534734,22757,545,0,1604
6,_xcgLglCPjA,東海オンエアの控え室,2019-06-21T14:44:49Z,UCynIYcsBwTrwBIecconPN2A,ピザ反省会 ＆ 文理対抗ボードゲーム大会結果発表,ピザ窯を作る動画 https://www.youtube.com/watch?v=V0vVckxPN34 https://www.youtube.com/watch?v=fVMuEX2cHZc&t=33s ボードゲームを作る動画 ...,1525941,18731,350,0,1821
7,OL3m2ZbKb1o,QuizKnock,2019-06-29T08:00:02Z,UCQ_MqAw18jFTlBB-f8BP7dw,世界最古のボードゲームが超簡単なのに奥が深い！！【紀元前アフリカのボドゲ】,東大生が世界最古のボドゲ「マンカラ」をやってみた ルールは超シンプルなのになんだこの奥深さ… 少しずつ解析して必勝パターンに導けるのは一体誰？ 今日の一問の ...,1451194,20322,324,0,1903
8,5iKr2bWVvzY,ジャニーズJr.チャンネル,2018-05-02T11:00:01Z,UC1cHlPIE-kqiPvpyYz2O8rQ,Snow Man 超盛り上がるボードゲーム【クイズいいセン行きまSHOW!】やってみた,どうもSnow Manです！ 今回は、話題のボードゲーム「クイズいいセン行きSHOW!」をメンバー６人で遊びました！ このゲームは、数字で答えるクイズゲームで、出題されるの ...,1346991,,,0,1502
9,siVHcoKNfY4,ジャニーズJr.チャンネル,2018-05-16T11:00:04Z,UC1cHlPIE-kqiPvpyYz2O8rQ,Snow Man 話題！【ボードゲームカフェ】に行ってみた,どうもSnow Manです！ 以前、僕たちの動画で超盛り上がったボードゲーム「クイズいいセン行きまSHOW!」。 そこで今回は、実際にボードゲームカフェに行っちゃおう！,1144040,,,0,957
10,8Q8PhMH08tY,QuizKnock,2020-01-23T10:50:46Z,UCQ_MqAw18jFTlBB-f8BP7dw,【東大VS東大】新感覚ボードゲームでガチ勝負【ノッカノッカ】,東大生が超シンプル!?でも奥深いボードゲームで対決！ 果たして優勝するのは一体誰！？ NOCCA × NOCCAの購入はこちらから！ http://www.undanoga.com/ 今日の ...,1073798,15883,241,0,1660
11,ACCc8E-1u2o,QuizKnock,2017-12-14T09:44:08Z,UCQ_MqAw18jFTlBB-f8BP7dw,時代推理ボードゲーム！東大生でやったらどうなる？【ボドゲ実況】,年代を推測するゲーム「タイムライン」を東大生3人がプレイ！ クイズ王の実力やいかに…？ タイムラインはこちら↓ https://goo.gl/FqLwbi ◇今回の質問 東大王のメンバー ...,1060693,11272,152,0,572
12,3wjQlKc5vf0,Snow Man,2020-10-21T08:00:00Z,UCuFPaemAaMR8R5cHzjy23dQ,Snow Man「カードゲームヨガ王は誰？」みんなで斬新ポーズ!!,どうも！Snow Manです。 久々にボードゲームやりま〜した！ カードゲームでヨガをする「YOGI」で遊んでみました。 結構盛り上がりました！そして、また一人の王が誕生しま ...,1050072,,,0,4912
13,hA0DJiZCcaI,HIMAWARIちゃんねる,2020-05-06T08:00:25Z,UCJ98lzh2QJGp37QgWPUcwrQ,おーちゃんにも簡単！！ブロックス！家族でワイワイボードゲーム♪himawari-CH,ボードゲーム #ひまわりチャンネル #まーちゃんおーちゃん 【HIMAWARIちゃんねるオリジナルグッズ】 ご購入はこちら→https://muuu.com/videos/4dc66749930c0724 ーー ...,698790,4390,769,0,
14,NPaeq82tLds,花江夏樹,2020-08-04T10:00:08Z,UC3C3YOGFjn7Pq3lOCeUFHfg,【世界のアソビ大全】運と駆け引きのボードゲーム『ルドー』,あらすじ 今回は、世界のアソビ大全51から 『ルドー』をプレイしていきます！ 単純なようで頭脳を使う熱いゲームを４人で遊びます！ ▽出演者 花江夏樹 しるこ ミントス 正一 ...,677510,15446,116,0,650
15,0Wvt73PS9gk,Kuzuha Channel,2020-08-01T14:15:57Z,UCSFCh5NL4qXrAy9u-u2lX3g,【重大告知！】ボードゲーム祭り【#どくずほんしゃ】,+‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥‥+ ドーラ https://www.youtube.com/channel/UC53UDnhAAYwvNO7j_2Ju1cQ?sub_confirmation=1 葛葉 ...,620619,21262,255,0,298
16,DgA3r-AAN9I,LEOTOY / レオトイ,2019-08-17T08:11:48Z,UC7RQMyUPzbQerM6rKRGqhvA,今一番面白いボードゲーム『KLASK』,個人的にマイブームって話です。 面白いんで皆さんも是非。 コイツの唯一の欠点は結構デカいってこと。 オススメのボドゲ待ってます。 購入するならコチラ ...,608185,5481,303,0,395
17,Bo-Kua5swa0,わんぱくスライムサム,2019-04-19T01:00:02Z,UC9Zdd9it76mju2OXfh_gmww,NBAのバスケットボールボードゲームを段ボールで作ろう,退屈した時って、何をしますか？お人形遊び？それともバスケットボールのゲーム？スーとスライムのサムは、気分によって色んなことをします。何週間か前には、古い ...,573277,6345,448,0,272
18,2zItu8RmofI,東和ピクチャーズ 公式,2019-07-19T03:25:02Z,UCa1Q1AQ48KQ_hs5wUot5qjw,映画『チャイルド・プレイ』本編映像｜惨劇の始まりはボードゲーム,映画『チャイルド・プレイ』 7月19日（金）全国公開 『IT／イット “それ”が見えたら、終わり。』のプロデューサーコンビ、セス・グレアム・スミスとデヴィッド・カッツェン・バーグ ...,554835,2651,237,0,341
19,YG2jZKvCzv8,積分サークル,2020-04-21T10:01:30Z,UC82NEkDVsBe6nAPTgR8yy7w,【第1回】阪大生のボードゲーム大会！！〜たった今考えたプロポーズの言葉を君に捧ぐよ〜,私はしけんマスクしてますが風邪ではありません。 この時親知らずを抜いた直後だったのでなんかほっぺた変色してて、、、。 お許し下さい(^^) お仕事のご依頼等は ...,532810,13202,84,0,1195
20,1JHS4B3awHw,オーイシ加藤のピザラジオ,2019-10-28T09:02:17Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】相手を嫌いになる禁断のゲーム【コリドール】,コリドール ルール コマを動かすorフェンスを置くを繰り返し、 先に反対側に自分のコマを到達したほうの勝ち コマは縦か横の1マスづつしか進むことができない ボードゲーム ...,478262,4106,212,0,489
21,mHcT8ZjBsTk,HIMAWARIちゃんねる,2019-05-16T08:00:03Z,UCJ98lzh2QJGp37QgWPUcwrQ,家族でボードゲーム☆「ドブル」が静か過ぎるので、盛り上がれるように頑張ってみた！himawari-CH,カードゲーム #ひまわりチャンネル #まーちゃんおーちゃん 【HIMAWARIちゃんねるオリジナルグッズ】 ご購入はこちら→https://muuu.com/videos/4dc66749930c0724 ーー ...,449610,2312,300,0,
22,TBTyxCcT9V0,オーイシ加藤のピザラジオ,2019-07-12T09:01:12Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】進化した◯✕ゲームに大興奮！【ゴブレットゴブラーズ】,ゴブレットゴブラーズ 紹介映像 https://www.youtube.com/watch?v=fiKI78LPa3w ボードゲーム店 すごろくや https://sugorokuya.jp/ 「オーイシ✕加藤のピザラジオ」とは・・ ...,447479,3763,213,0,372
23,02PD0c7k1HQ,Fischer's-セカンダリ-,2020-05-13T13:04:25Z,UCs4KWxdP-lRc-dgLXE5i8Wg,８〜９９才まで遊べる海外のボードゲームが面白くてビッグバン起きたwww,一代目のチャンネルもよろしく！ ☆Fischer's-フィッシャーズ- □https://goo.gl/Djm1h3 ☆チャンネル登録よろしくね！ □https://goo.gl/lnK83H ☆Ｔシャツ、パーカーなどの ...,431377,8534,112,0,637
24,IhHA0bYGcE4,水溜りボンド,2020-05-23T13:49:52Z,UCpOjLndjOqMoffA-fr8cbKA,【再現度異常】2020年の『運動系ボードゲーム』のクオリティが凄すぎたww,新しいグッズが出ております！ぜひチェックしてみてください〜 ＜水溜りボンドLINEスタンプ＞ https://00m.in/2mzGU ＜水溜りボンド新グッズ＞ パズル・部屋着 ...,398056,10253,237,0,1225
25,vcU-SsVFc3g,おめがシスターズ [Ω Sisters],2019-01-23T10:00:06Z,UCNjTjd2-PMC8Oo_-dCEss7A,炎上不可避！？激ヤバなボードゲームを4人でやってみた【ソクラテスラ】,今日はぽんぽこちゃんとピーナッツくんとコラボ！ 4人で、ソクラテスラというやばいボードゲームをやるよ！ ▽ぽんぽこちゃん ...,394788,9452,132,0,913
26,wbzsK81zCPw,オーイシ加藤のピザラジオ,2020-04-13T05:44:31Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】嘘つきが勝つ！騙し合いすごろくゲーム【チャオチャオ】,JELLY JELLY CAFE 世界中のボードゲームで遊べるカフェ https://jellyjellycafe.com/ 「オーイシ✕加藤のピザラジオ」とは・・ アニソンシンガーのオーイシマサヨシ ...,393278,4951,112,0,806
27,TWk0YhXmj8U,よゐこチャンネル,2020-03-19T15:38:28Z,UCRYWF2XsVvwvSqMrK4FXz3g,「ドラえもんのボードゲーム」で47都道府県&amp;県庁所在地を覚えます！/生配信#42,47歳になった今、新たな遊び場として開設したYouTubeチャンネル「よゐこチャンネル」です！ よゐこがまったりYouTubeで遊ぶ動画を公開していきます！,386238,2526,101,0,77
28,OAgw9-p4Rik,オーイシ加藤のピザラジオ,2019-07-05T14:20:25Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】シンプルだけど奥が深い超頭脳バトル！【SLIPE(スライプ)】,再アップしました ボードゲーム店 すごろくや https://sugorokuya.jp/ 「オーイシ✕加藤のピザラジオ」とは・・ アニソンシンガーのオーイシマサヨシとYouTuberの加藤純一が ...,372738,3517,113,0,360
29,8-7W75JX5yg,スカイピースの平和島,2020-07-03T11:00:03Z,UCn_cpHcrXjG_XnH9N3fO6qA,【頭脳戦】このボードゲームが本気で面白い！！,スカイピースのチャンネル登録よろしくお願いします！ https://www.youtube.com/channel/UC8_wmm5DX9mb4jrLiw8ZYzw お仕事のご依頼はこちらからになります！,376228,7374,98,0,595
30,wbzsK81zCPw,オーイシ加藤のピザラジオ,2020-04-13T05:44:31Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】嘘つきが勝つ！騙し合いすごろくゲーム【チャオチャオ】,JELLY JELLY CAFE 世界中のボードゲームで遊べるカフェ https://jellyjellycafe.com/ 「オーイシ✕加藤のピザラジオ」とは・・ アニソンシンガーのオーイシマサヨシ ...,393278,4951,112,0,806
31,TWk0YhXmj8U,よゐこチャンネル,2020-03-19T15:38:28Z,UCRYWF2XsVvwvSqMrK4FXz3g,「ドラえもんのボードゲーム」で47都道府県&amp;県庁所在地を覚えます！/生配信#42,47歳になった今、新たな遊び場として開設したYouTubeチャンネル「よゐこチャンネル」です！ よゐこがまったりYouTubeで遊ぶ動画を公開していきます！,386238,2526,101,0,77
32,OAgw9-p4Rik,オーイシ加藤のピザラジオ,2019-07-05T14:20:25Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】シンプルだけど奥が深い超頭脳バトル！【SLIPE(スライプ)】,再アップしました ボードゲーム店 すごろくや https://sugorokuya.jp/ 「オーイシ✕加藤のピザラジオ」とは・・ アニソンシンガーのオーイシマサヨシとYouTuberの加藤純一が ...,372738,3517,113,0,360
33,8-7W75JX5yg,スカイピースの平和島,2020-07-03T11:00:03Z,UCn_cpHcrXjG_XnH9N3fO6qA,【頭脳戦】このボードゲームが本気で面白い！！,スカイピースのチャンネル登録よろしくお願いします！ https://www.youtube.com/channel/UC8_wmm5DX9mb4jrLiw8ZYzw お仕事のご依頼はこちらからになります！,376228,7374,98,0,595
34,IbgX-blRY08,カジサックの小部屋,2020-04-23T12:00:06Z,UCdEpbrlHoqnUGMRy2LICtRw,【罰ゲームアリ】3歳でも遊べるボードゲームでガチ対決！,メインチャンネルはこちら https://www.youtube.com/channel/UC642pLj4GXSj-0Ybdx3ytmA 吉本興業所属のキングコング梶原が、新米Youtuberカジサックとなって ...,368582,7090,137,0,712
35,9ec6Q2zOvdo,ジャニーズJr.チャンネル,2020-06-19T10:30:01Z,UC1cHlPIE-kqiPvpyYz2O8rQ,7 MEN 侍【妄想キャラバトル】ボードゲームに初挑戦！,どうも！「7 MEN 侍」です。 今回は約３ヶ月振りにみんなで集まったロケでした！ もちろんソーシャルディスタンスキープです！ 他のグループでも色んなボードゲームやって ...,343699,,,0,1473
36,-IaPZDfbQ3k,QuizKnock会議中【サブチャンネル】,2019-11-01T13:22:19Z,UCdvci38aZHC_5qKPyL8BPcA,ボードゲーム「ito」をやってみたよ,ボードゲーム「ito」はこちらから！ https://www.amazon.co.jp/dp/B07V4Q2MG2/ref=cm_sw_r_tw_dp_U_x_vadVDb6D7VXHJ ◇QuizKnockメインチャンネルはこちら ...,338413,6081,80,0,631
37,APwPiq7VT8Q,オーイシ加藤のピザラジオ,2020-08-14T09:39:07Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】究極の心理戦！騙し合いハイアンドローゲーム【コヨーテ】,JELLY JELLY CAFE 世界中のボードゲームで遊べるカフェ https://jellyjellycafe.com/ 「オーイシ✕加藤のピザラジオ」とは・・ アニソンシンガーのオーイシマサヨシ ...,330963,5576,120,0,2051
38,PgWpyLIzUJA,バンダイ公式チャンネル,2012-10-19T08:41:27Z,UCtvh0wC06tV2EeRBk1OfUhg,２WAYボードゲーム　逃走中＆戦闘中　商品紹介PV,大人気の２番組が１つのボードゲームになった！ 表と裏、リバーシブルで２倍楽しめるボードゲーム！ http://www.asovision.com/tosocyu/,327207,237,62,0,
39,CHkOgDKTuNo,オーイシ加藤のピザラジオ,2020-01-13T04:12:13Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】バカが分かる！負けると超悔しいゲーム【クアルト】,JELLY JELLY CAFE 世界中のボードゲームで遊べるカフェ https://jellyjellycafe.com/ 「オーイシ✕加藤のピザラジオ」とは・・ アニソンシンガーのオーイシマサヨシ ...,326093,3499,123,0,521
40,GuOEOyCDQoQ,ためにならない!!,2020-09-24T08:27:09Z,UCpj29wrH9rPRiBAZQSHjgCg,自作ボードゲーム,,321234,11160,176,0,1035
41,8JEWLZfj8fQ,QuizKnock会議中【サブチャンネル】,2018-12-14T12:26:00Z,UCdvci38aZHC_5qKPyL8BPcA,ウルトラクイズのボードゲームを貰ったのでやってみるよ。,途中からガチになって声小さすぎになるクイズプレイヤー達。 ◇QuizKnockメインチャンネルはこちら https://www.youtube.com/channel/UCQ_MqAw18jFTlBB-f8BP7dw ...,316774,6890,37,0,548
42,9qfrUTt-hos,ジャニーズJr.チャンネル,2020-06-13T11:00:06Z,UC1cHlPIE-kqiPvpyYz2O8rQ,美 少年【トマトは好き？】リモートでも盛上りのボードゲーム,YouTubeをご覧のみなさまゲーム大好き「美 少年」です。 いつも動画視聴ありがとうございます。 今回は、「トマトマト」というボードゲームで遊んでみました。 リモートだから、 ...,312737,,,0,1933
43,2GMEvebrusc,オーイシ加藤のピザラジオ,2020-01-18T05:10:04Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】人間不信になる 本気の騙し合いゲーム【ガイスター】,JELLY JELLY CAFE 世界中のボードゲームで遊べるカフェ https://jellyjellycafe.com/ 「オーイシ✕加藤のピザラジオ」とは・・ アニソンシンガーのオーイシマサヨシ ...,290520,2365,76,0,396
44,giUch-ZI_Mw,オーイシ加藤のピザラジオ,2020-01-30T10:05:52Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】YESかNOで推理！超盛り上がるワード当てゲーム【アテッコ #1】,アテッコ #2 https://youtu.be/qtNbHqgeIhw JELLY JELLY CAFE - 世界中のボードゲームで遊べるカフェ https://jellyjellycafe.com/ 「オーイシ✕加藤のピザラジオ」とは・・ ...,291569,2806,78,0,972
45,gLPIRI4Gp9E,オモコロチャンネル,2019-11-19T09:00:13Z,UCOx-oLP9tOhiYwSK_m-yVxA,【仲間割れ注意】『ニャーメンズ』は友情が破壊されるボードゲームだった,ニャーメンズ - 購入はこちら →https://amzn.to/3gvNjbC - 特設サイト →https://magi-mals.com - 公式Twitter →https://twitter.com/magimals 【チャンネル登録はこちらから ...,285224,4567,68,0,570
46,dDhPihE25rM,志麻ちゃんねる,2019-01-30T12:46:04Z,UCDIWpMZKXTng4mT4eMF5oTA,ボードゲームライフを歌ってみた　ver志麻,人生は常にボードゲームの上で繰り広げられている。 本家様：https://www.nicovideo.jp/watch/sm34546386 Music : buzzG https://twitter.com/buzz_g Lyrics : ねじ式 ...,281486,13359,25,0,767
47,QhUsTx8DPVw,マフィア梶田と中村悠一の「わしゃがなTV」,2020-07-09T09:00:07Z,UCReBAqqC-hc9d70gOftfitg,【ボードゲームアリーナ】神の一手しか打たない【頭脳戦】,フリー“なんでも”ライターのマフィア梶田と声優の中村悠一がお送りするラジオみたいな動画番組。構成作家に「ポプテピピック」でおなじみの漫画家・大川ぶくぶを迎え，様々 ...,279307,5214,70,0,255
48,Jy0cKdjMpLA,オーイシ加藤のピザラジオ,2019-09-29T06:00:12Z,UCeWZN7rNRQaHCtMCdHEZFqw,【ボードゲーム】オセロを超える面白さ!? 新感覚対戦ゲーム【NOCCA × NOCCA】,【NOCCA × NOCCA（ノッカノッカ）】 https://www.youtube.com/watch?v=cFHHPKp1Tao コマは前後左右斜めへ、1マス移動させることができる 相手のコマの上に置くこと ...,265976,2039,76,0,366
49,QI3tAMeg1TI,カジサックの小部屋,2020-06-05T09:00:09Z,UCdEpbrlHoqnUGMRy2LICtRw,【ボードゲーム】かんちゃん せんちゃんと対決,メインチャンネルはこちら https://www.youtube.com/channel/UC642pLj4GXSj-0Ybdx3ytmA 吉本興業所属のキングコング梶原が、新米Youtuberカジサックとなって ...,258717,5468,108,0,584
